                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.47871,                0.34341,                0.82671,                0.80581,                 0.7949,                0.81429,                0.72099,                0.62326,                0.81589,                0.82237,             0.00053612,             0.00053612,             0.00053612
                    110,                0.48129,                0.34017,                0.82955,                0.90387,                0.75008,                0.83216,                 0.7353,                0.63567,                 0.7616,                0.83218,             0.00053337,             0.00053337,             0.00053337
                    111,                0.48735,                0.34382,                0.82809,                0.88958,                0.78169,                0.83768,                 0.7386,                0.62966,                0.71951,                0.82984,             0.00053062,             0.00053062,             0.00053062
                    112,                0.47866,                0.33268,                 0.8281,                0.86163,                0.77745,                0.81775,                0.72149,                0.65566,                0.80342,                0.83151,             0.00052787,             0.00052787,             0.00052787
                    113,                0.48488,                0.33823,                0.82533,                0.85719,                0.63358,                0.73594,                0.64905,                0.64298,                0.85521,                0.82434,             0.00052512,             0.00052512,             0.00052512
                    114,                0.47616,                 0.3308,                0.82488,                0.77337,                0.73749,                0.81275,                0.71238,                0.64348,                0.79236,                0.83001,             0.00052237,             0.00052237,             0.00052237
                    115,                0.46575,                0.33811,                0.82564,                0.87071,                0.78453,                0.80722,                0.71575,                0.65114,                0.86992,                0.83258,             0.00051963,             0.00051963,             0.00051963
                    116,                0.47892,                0.33802,                0.82724,                0.88543,                0.78406,                0.83732,                0.74865,                 0.6437,                0.75837,                0.83009,             0.00051688,             0.00051688,             0.00051688
                    117,                0.47483,                0.33687,                0.82691,                0.83194,                0.77666,                0.83346,                0.73271,                  0.636,                0.78767,                 0.8273,             0.00051413,             0.00051413,             0.00051413
                    118,                0.47074,                0.33269,                0.82478,                0.82343,                 0.8007,                 0.8284,                0.73452,                0.63725,                  0.721,                 0.8298,             0.00051138,             0.00051138,             0.00051138
                    119,                0.47777,                 0.3343,                0.82723,                0.89649,                0.78388,                0.83487,                0.73954,                0.63295,                0.78656,                0.82359,             0.00050863,             0.00050863,             0.00050863
                    120,                0.46185,                0.33457,                0.82287,                0.76707,                0.66347,                0.76099,                0.66527,                0.62555,                0.79136,                0.82612,             0.00050588,             0.00050588,             0.00050588
                    121,                0.46922,                0.33386,                 0.8224,                0.84729,                0.70617,                0.80296,                0.70378,                0.62659,                0.81277,                0.83015,             0.00050313,             0.00050313,             0.00050313
                    122,                0.46686,                0.33231,                0.82563,                 0.8506,                0.79542,                0.81352,                0.72147,                0.63957,                  0.737,                0.83081,             0.00050038,             0.00050038,             0.00050038
                    123,                0.48016,                0.33329,                0.82754,                0.85584,                0.69198,                 0.8066,                0.69804,                 0.6136,                 0.8399,                0.82198,             0.00049763,             0.00049763,             0.00049763
                    124,                0.47347,                0.34064,                0.82656,                0.82694,                 0.7797,                0.83192,                0.74934,                0.61466,                0.72998,                0.82404,             0.00049489,             0.00049489,             0.00049489
                    125,                0.46817,                0.33037,                0.82845,                0.90499,                 0.7626,                 0.8247,                0.71996,                0.63366,                0.78511,                0.82727,             0.00049214,             0.00049214,             0.00049214
                    126,                 0.4705,                0.32809,                0.82578,                0.88791,                0.77174,                0.81809,                0.72021,                0.62774,                0.80922,                0.82597,             0.00048939,             0.00048939,             0.00048939
